Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID171,171,3,-1,7.100,9.329,0,0,0,5,1,-10921639,2.054E-4,6.755E-6,-4.224E-7,0.004,161.596,5.550E-4,8.885,0.862,0.343
ID175,175,3,-1,7.089,9.329,0,1,1,5,1,-10921639,8.299E-5,6.355E-6,2.148E-6,6.520E-4,65.301,1.894E-4,8.850,0.776,0.383
ID179,179,3,-1,7.069,9.281,0,2,2,5,1,-10921639,2.080E-4,6.700E-6,-9.759E-8,0.004,163.682,5.622E-4,8.894,0.853,0.341
ID183,183,3,-1,7.068,9.279,0,3,3,5,1,-10921639,8.303E-5,6.331E-6,2.139E-6,6.518E-4,65.330,1.897E-4,8.683,0.768,0.380
ID187,187,3,-1,7.029,9.219,0,4,4,5,1,-10921639,2.106E-4,6.487E-6,-3.151E-7,0.004,165.677,5.695E-4,8.872,0.847,0.339
ID191,191,3,-1,7.026,9.220,0,5,5,5,1,-10921639,8.271E-5,6.112E-6,2.040E-6,6.279E-4,65.082,1.901E-4,8.416,0.762,0.376
ID195,195,3,-1,6.999,9.161,0,6,6,5,1,-10921639,2.128E-4,6.207E-6,-3.163E-7,0.004,167.421,5.760E-4,8.881,0.840,0.337
ID199,199,3,-1,7.007,9.160,0,7,7,5,1,-10921639,8.250E-5,5.823E-6,2.041E-6,6.284E-4,64.912,1.904E-4,8.331,0.756,0.373
ID203,203,3,-1,6.971,9.109,0,8,8,5,1,-10921639,2.156E-4,6.000E-6,-6.272E-7,0.003,169.637,5.825E-4,8.894,0.831,0.336
ID206,206,3,-1,6.969,9.108,0,9,9,5,1,-10921639,8.263E-5,5.618E-6,1.950E-6,6.518E-4,65.013,1.906E-4,8.292,0.744,0.370
ID214,214,3,-1,6.929,9.052,0,10,10,5,1,-10921639,2.180E-4,5.832E-6,-9.626E-7,0.003,171.539,5.887E-4,8.877,0.828,0.335
ID218,218,3,-1,6.931,9.050,0,11,11,5,1,-10921639,8.255E-5,5.471E-6,1.978E-6,6.517E-4,64.953,1.910E-4,8.218,0.741,0.368
ID222,222,3,-1,6.910,8.991,0,12,12,5,1,-10921639,2.203E-4,5.682E-6,-5.275E-7,0.004,173.305,5.944E-4,8.881,0.822,0.334
ID226,226,3,-1,6.910,8.989,0,13,13,5,1,-10921639,8.258E-5,5.331E-6,1.899E-6,6.278E-4,64.974,1.914E-4,8.188,0.736,0.366
ID230,230,3,-1,6.879,8.933,0,14,14,5,1,-10921639,2.227E-4,5.529E-6,-6.322E-7,0.004,175.209,6.003E-4,8.889,0.818,0.334
ID234,234,3,-1,6.879,8.929,0,15,15,5,1,-10921639,8.265E-5,5.192E-6,1.812E-6,6.599E-4,65.030,1.919E-4,8.166,0.733,0.364
ID238,238,3,-1,6.843,8.871,0,16,16,5,1,-10921639,2.250E-4,5.404E-6,-5.371E-7,0.004,177.041,6.057E-4,8.920,0.814,0.333
ID242,242,3,-1,6.848,8.868,0,17,17,5,1,-10921639,8.277E-5,5.072E-6,1.927E-6,6.597E-4,65.123,1.922E-4,8.159,0.728,0.363
ID254,254,3,-1,6.811,8.810,0,18,18,5,1,-10921639,2.272E-4,5.264E-6,-7.340E-7,0.004,178.789,6.109E-4,8.929,0.811,0.333
ID246,246,3,-1,6.820,8.821,0,19,19,5,1,-10921639,8.278E-5,4.949E-6,1.879E-6,6.596E-4,65.135,1.925E-4,8.133,0.727,0.362
